iter	RMSE
214	80912.92595
215	80899.15764
216	80891.22353
217	80879.95199
218	80871.78212
219	80861.16894
220	80830.94834
221	80822.35249
222	80805.96557
223	80794.28327
224	80785.68516
225	80776.5838
226	80763.96269
227	80756.45835
228	80741.17732
229	80728.47439
230	80721.83684
231	80705.12771
232	80693.63208
233	80684.3759
234	80677.81459
235	80664.73004
236	80654.73476
237	80641.00626
238	80636.26644
239	80620.69865
240	80610.93115
241	80599.57674
242	80586.57516
243	80578.31112
244	80567.14738
245	80556.83183
246	80549.60097
247	80536.45796
248	80522.28886
249	80505.7348
250	80497.04294
251	80489.43824
252	80480.00968
253	80468.71992
254	80455.91562
255	80449.90662
256	80438.94434
257	80420.41215
258	80410.5171
259	80400.733
260	80390.39733
261	80379.8931
262	80371.24169
263	80361.40267
264	80353.65254
265	80346.39358
266	80336.51424
267	80331.38602
268	80316.10442
269	80302.79556
270	80297.11799
271	80288.09213
272	80280.03165
273	80272.43035
274	80263.56371
275	80252.81562
276	80240.13336
277	80233.25534
278	80222.11596
279	80209.08178
280	80194.91052
281	80188.37386
282	80180.92363
283	80168.37844
284	80156.5967
285	80144.93181
286	80132.99452
287	80128.51975
288	80115.43105
289	80108.96703
290	80093.26676
291	80087.38203
292	80071.78641
293	80067.12314
294	80045.97625
295	80041.12315
296	80030.18846
297	80022.09328
298	80016.67893
299	80008.49821
300	79997.70116
301	79991.41149
302	79982.50571
303	79975.54289
304	79967.36795
305	79955.89069
306	79946.15147
307	79940.06432
308	79930.31526
309	79920.9636
310	79910.1045
311	79898.37019
312	79895.70837
313	79884.09368
314	79875.50318
315	79864.42526
316	79858.83755
317	79852.12563
318	79843.58038
319	79835.18286
320	79818.25752
321	79810.19771
322	79804.19427
323	79793.71213
324	79783.349
325	79776.7734
326	79768.01859
327	79762.09637
328	79753.35756
329	79747.77835
330	79740.78222
331	79722.96335
332	79710.1203
333	79700.79532
334	79695.31302
335	79689.30113
336	79681.40911
337	79668.48415
338	79657.48255
339	79649.21137
340	79641.17057
341	79628.35825
342	79614.61163
343	79608.77385
344	79599.67749
345	79591.52809
346	79580.50684
347	79575.61277
348	79568.92717
349	79562.28887
350	79553.49474
351	79545.34918
352	79536.69966
353	79533.33684
354	79523.37551
355	79512.41611
356	79507.28058
357	79500.84674
358	79488.18498
359	79478.78729
360	79469.02893
361	79453.9455
362	79446.93203
